Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
USA SUPER PAC,C00518217,KATHLEEN FLANAGAN,1 S 6TH ST,,TERRE HAUTE,47807,IN,,Backs Republicans,Quarterly,281020,20,29413.55,10/17/12,190086.45,0,0,190086.45,0
PEOPLE'S MAJORITY,C00486878,KEN MCKAY,PO BOX 320014,,ALEXANDRIA,22320,VA,,Unassigned,Quarterly,315250.34,0,282480.34,10/17/12,183165.25,0,183165.25,0,0
FREEDOM FUND FOR AMERICA'S FUTURE INC,C00516112,DAVID SATTERFIELD,PO BOX 66544,,WASHINGTON,20035,DC,NONE,Backs Republicans,Quarterly,190700,0,7640.49,9/30/12,175145,0,0,0,175145
CONSERVATIVES ACTING TOGETHER POLITICAL ACTION COMMITTEE (CATPAC),C00518779,JILL MELLINGER,P.O. BOX 824625,,DALLAS,75382,TX,,Backs Republicans,Quarterly,190750.62,0,1477.33,9/30/12,172721.08,0,0,172721.08,0
COALITION OF AMERICANS FOR POLITICAL EQUALITY,C00493486,MARGARET BERARDINELLI,1776 I STREET NW,"9TH FLOOR, SUITE 90031",WASHINGTON,20006,DC,,Unassigned,Quarterly,1432839.85,0,15164.25,10/17/12,160809.88,0,53818.55,85991.33,21000
UNITED MINE WORKERS OF AMERICA POWER PAC,C00489203,DANIEL J KANE,18354 QUANTICO GATEWAY DRIVE #200,,TRIANGLE,22172,VA,,Backs Democrats,Quarterly,204772.57,0,51935.88,9/30/12,160257.53,71003.62,0,0,89253.91
"ICPURPLE, INC.",C00519835,"GRUESKIN, TOM",PO BOX 2409,,LA JOLLA,90238,CA,,Unassigned,Monthly,523195.01,311,14525.76,10/17/12,153007.13,0,0,0,0
DEFEND OUR HOMES,C00525204,,,,,,DC,,Unassigned,Quarterly,122500,0,82773.24,10/17/12,140558.51,0,0,1792.1,138766.41
TRUST IN SMALL BUSINESS POLITICAL ACTION COMMITTEE (TISB PAC),C00423095,"BOHM, JOSEPH",PO BOX 1172,,ALEXANDRIA,22313,VA,NONE,Backs Republicans,Quarterly,196869.4,296,20063.66,11/26/12,139980.25,0,0,139980.25,0
DISTRICT COUNCIL 50 INT'L UNION OF PAINTERS AND ALLIED TRADES LOCAL JOBS FOR LOCAL PEOPLE,C00527978,,,,,,HI,,Backs Democrats,Quarterly,140000,0,126.23,11/26/12,139856.52,0,0,0,139856.52
1911 UNITED,C00508200,"SKINNER, SINCLAIR",700 12TH STREET NW SUITE 700,,WASHINGTON,20005,DC,,Backs Democrats,Monthly,157260.98,26385.98,6152.83,10/17/12,137139.98,137139.98,0,0,0
FREEDOM BORN FUND,C00498519,G DAN MORGAN,4790 CAUGHLIN PARKWAY #767,,RENO,89519,NV,,Unassigned,Quarterly,120699.15,199.15,16584.56,10/17/12,135494.98,0,135494.98,0,0
LEADERS FOR FAMILIES SUPER PAC INC,C00508317,CHARLES HURLEY,1 S 6TH ST,,TERRE HAUTE,47807,IN,,Backs Republicans,Quarterly,169512.5,50,5860.63,10/17/12,135468.42,0,0,135468.42,0
CHARACTER COUNTS POLITICAL ACTION COMMITTE INC,C00521757,JOHN LEMMON,PO BOX 373,,FAIRFAX STATION,22039,VA,,Backs Democrats,Quarterly,80000,0,2487.26,9/30/12,131890.18,0,0,0,131890.18
CONGRESSIONAL ELECTIONS PAC,C00523910,JONATHAN MARTIN,PO BOX 19366,,KALAMAZOO,49019,MI,NONE,Backs Democrats,Quarterly,211000,0,260.5,10/31/12,127300,0,0,0,127300
RESTORING AMERICA INC,C00515072,MIKE BLANKENBECLER,501 MORRISON ROAD SUITE 201,,GAHANNA,43230,OH,,Unassigned,Quarterly,82010,10,32459.38,10/17/12,125175,0,82175,43000,0
CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT,C00509075,S F GARRETT,1237 SOUTH VICTORIA AVENUE STE 244,,OXNARD,93035,CA,,Backs Republicans,Quarterly,132600,100,450.6,11/26/12,121591.51,45202.82,0,76388.69,0
LIBERTY ACTION PAC,C00508598,DERYL EDWARDS,PO BOX 540629,,ORLANDO,32854,FL,,Unassigned,Quarterly,,,,,120999.64,0,120999.64,0,0
REAL STREET CONSERVATIVES PAC,C00511436,JERAD NAJVAR,ONE GREENWAY PLAZA SUITE 225,,HOUSTON,77046,TX,NONE,Backs Republicans,Quarterly,134062.06,0,0,11/1/12,120000,0,0,120000,0
CALIFORNIANS FOR A STRONGER AMERICA,C00524249,,,,,,NY,,Backs Republicans,Quarterly,155817,2,21274.66,10/17/12,120000,0,100000,0,20000
AMERICAN SUNRISE,C00509455,ALBERTO ROMERO,424 E CENTRAL BLVD #321,,ORLANDO,32801,FL,NONE,Backs Democrats,Quarterly,350681.25,181,643.85,10/17/12,118578.22,65776.03,0,0,52802.19
WINNING FREEDOM INC,C00510636,BRANDON TODD,12116 JEKEL CIR,,AUSTIN,78727,TX,,Backs Republicans,Quarterly,277009.73,163046.53,0,10/15/12,111716.28,0,0,111716.28,0
ARIZONANS FOR JOBS,C00523480,GORDON JAMES,4715 N 32ND STREET SUITE 104,,PHOENIX,85018,AZ,N/A,Unassigned,Quarterly,104050,50,12233.8,10/17/12,103417,0,63417,40000,0
FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,C00455923,ROBERT J GARVEY,8200 MACBETH STREET,,MANASSAS,20110,VA,,Unassigned,Quarterly,98227.23,26195,33092.77,10/17/12,102545.36,0,101803.04,742.32,0
A CRITICAL CHOICE FOR AMERICA POLITICAL ACTION COMMITTEE,C00528372,,,,,,DC,,Unassigned,Quarterly,370000,0,360000,10/17/12,100480,0,0,100480,0
COMMITTEE FOR AN EFFECTIVE AND TRUSTED CONGRESSMAN,C00526640,,,,,,CA,,Unassigned,Quarterly,120000,0,0,11/29/12,100000,100000,0,0,0
PROGRESSIVE INDEPENDENT COMMITTEE,C00526970,,,,,,TN,,Unassigned,Quarterly,107525,25,3792.14,10/17/12,96848.86,2053.3,94795.56,0,0
IOWANS FOR INTEGRITY IN LEADERSHIP,C00526004,,,,,,IA,,Backs Democrats,Quarterly,305100,100,71273.54,10/17/12,95484.43,85445.26,0,0,10039.17
INLAND EMPIRE TAXPAYERS FOR JOBS,C00515379,JOSH WHITFIELD,455 CAPITOL MALL SUITE 600,,SACRAMENTO,95814,CA,,Backs Republicans,Quarterly,100000,0,13482.76,10/17/12,94800.9,0,0,94800.9,0
COASTAL FLORIDA'S FUTURE PAC,C00514737,NANCY H WATKINS,610 S BOULEVARD,,TAMPA,33606,FL,NONE,Unassigned,Quarterly,114750,0,0,8/23/12,94581.71,0,0,79225.76,15355.95
WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,C00527226,,,,,,CA,,Unassigned,Quarterly,61775,2670,23706.12,10/17/12,94159.11,68502.67,12789.77,0,12866.67
AMERICA VOTES ACTION FUND,C00492520,"FITZ-GERALD, JOAN",1155 CONNECTICUT AVE NW,SUITE 600,WASHINGTON,20036,DC,NONE,Backs Democrats,Quarterly,3118237,2980,1200917.78,10/17/12,88567.51,44157.67,0,0,44409.84
CAMPAIGN FOR OUR FUTURE,C00520767,TARA GEISE,130 7TH AVE #248,,NEW YORK,10011,NY,NONE,Backs Democrats,Quarterly,150900,400,0,10/24/12,87196.62,56696.62,30500,0,0
JEWISH COUNCIL FOR EDUCATION AND RESEARCH,C00452847,"MOORE, MIKHAEL",1 PENN PLAZA,SUITE 6171,NEW YORK,10119,NY,,Backs Democrats,Quarterly,450285.5,27225.5,109262.8,11/26/12,87020.87,62020.87,20000,0,5000
AMERICA VS OBAMA,C00527127,,,,,,NY,,Unassigned,Quarterly,61725,400,1251.54,11/26/12,85071.37,377.37,84694,0,0
STRONGER TOGETHER,C00531723,,,,,,NY,,Unassigned,Quarterly,166000,0,166000,10/17/12,84600,84600,0,0,0
"AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.",C00513804,"ADAMS, MICHAEL G.",PO BOX 156,,ALEXANDRIA,41001,KY,NONE,Backs Republicans,Quarterly,156840.53,500,22180.76,9/30/12,84494.72,0,0,49077.04,35417.68
NEW VIRGINIA PAC,C00515452,JUDITH ZAMORE,PO BOX 3323,,ALEXANDRIA,22302,VA,NONE,Unassigned,Quarterly,80140.15,1237,49060.78,10/17/12,83873.92,32036.96,0,0,51836.96
STRONG ECONOMY FOR MASSACHUSETTS INC,C00526418,,,,,,MA,,Unassigned,Quarterly,195002.55,0,105982.02,10/17/12,79741.64,0,79741.64,0,0
"AMERICANS FOR A BETTER TOMORROW, TOMORROW, INC.",C00498097,"POLK, SHAUNA",C/O CAPLIN AND DRYSDALE,ONE THOMAS CIRCLE NW STE 1100,WASHINGTON,20005,DC,,Unassigned,Monthly,1248426.47,1116145.16,0,11/12/12,79526.77,0,0,31856.5,47670.27
IT'S NOW OR NEVER INC,C00519785,ANTHONY J FERATE,840 SOUTH RANCHO DRIVE SUITE 4175,,LAS VEGAS,89106,NV,,Unassigned,Quarterly,289900,0,17604.67,10/17/12,77577.75,0,7786.48,69791.27,0
STRONG UTAH PAC,C00503078,MICHAEL D EDMONDS,329 PIERPONT AVENUE,,SALT LAKE CITY,84101,UT,,Backs Republicans,Quarterly,66200,200,100,11/26/12,77350,0,0,77350,0
CAIN CONNECTIONS PAC,C00507707,"BLOCK, MARK",PO BOX 25254,,ALEXANDRIA,22313,VA,9-9-9 FUND,Backs Republicans,Quarterly,1381791.87,413383.17,27554.65,9/30/12,76863.78,0,76863.78,0,0
DGA ACTION,C00503789,BENJAMIN C METCALF,1401 K STREET NW SUITE 200,,WASHINGTON,20005,DC,,Backs Democrats,Monthly,2397738.22,1143750.17,795518.8,10/17/12,63730.26,5010,0,0,58720.26
MONTANA GROWTH FOUNDATION,C00528232,,,,,,MT,,Unassigned,Quarterly,124000,0,73485,10/17/12,60099.37,0,60099.37,0,0
RESTORING ARIZONA'S INTEGRITY,C00524918,"BROWNING, JEREMY",PO BOX 80405,,PHOENIX,85060,AZ,NONE,Unassigned,Quarterly,176002.37,0,1128.43,10/17/12,59799.25,0,59799.25,0,0
OHIOANS FOR OPPORTUNITY,C00512822,JEFFREY A RUPPERT,35 EAST GAY STREET SUITE 248,,COLUMBUS,73215,OH,,Backs Democrats,Quarterly,57772.5,0,1686.96,9/30/12,58051.08,0,58051.08,0,0
FRIENDS UNITED POLITICAL ACTION COMMITTEE,C00518548,JENNIFER STEWART,PO BOX 988,,ALEXANDRIA,22313,VA,NONE,Backs Democrats,Quarterly,65000,0,6612.5,9/30/12,56579,16508.99,40070.01,0,0
AMERICA'S ROAD AHEAD FUND,C00521575,GREG LANGHAIM,1127 WALKER ROAD,,GREAT FALLS,22066,VA,NONE,Unassigned,Quarterly,196672.66,75272.59,8085.11,10/17/12,52368.34,0,38000,14368.34,0
LIBERTARIAN ACTION SUPER PAC,C00519553,ROBERT C W BENEDICT JR,619 FRIAR TUCK LANE,,AUSTIN,78704,TX,,Unassigned,Quarterly,156172.52,19840.02,54575.65,10/17/12,51395.33,0,0,0,0
STRENGTH & LIBERTY PAC,C00513366,"BARNETT, ANDREW",10251 SUNRISE LANE,,SANTA ANA,92705,CA,NONE,Backs Republicans,Quarterly,50110,110,9,6/30/12,50000,0,0,0,50000
CITIZENS FOR STRENGTH AND SECURITY PAC,C00488429,"HAGGARD, LORA","1718 M STREET, NW",SUITE 358,WASHINGTON,20036,DC,NONE,Backs Democrats,Quarterly,140944.75,0,134908.25,10/17/12,49210.62,49210.62,0,0,0
SAFE NATION PAC INC,C00529727,,,,,,GA,,Unassigned,Quarterly,100,100,100,10/17/12,44706.24,24760,0,15819.74,0
CENTRAL VALLEY INDEPENDENT PAC,C00532382,,,,,,CA,,Unassigned,Quarterly,130000,0,129932,10/17/12,44538,0,44538,0,0
EMPOWER WISCONSIN,C00515882,"WATKINS, NANCY H.",610 S. BOULEVARD,,TAMPA,33606,FL,,Unassigned,Monthly,55000,0,54109,10/17/12,42350,0,0,42350,0
VOTE YOUR VALUES PAC,C00528323,,,,,,DC,,Unassigned,Quarterly,40950,700,40916.37,10/17/12,41735,0,0,0,41735
WORKING FOR WORKING AMERICANS - FEDERAL,C00490847,"NEWKIRK, R. PHIL",6801 PLACID STREET,,LAS VEGAS,89119,NV,UNITED BROTHERHOOD OF CARPENTERS AND J,Backs Democrats,Quarterly,3849113.72,0,906692.5,10/17/12,40823.45,40484.37,0,0,0
TRINITY PAC,C00528919,,,,,,DC,,Unassigned,Quarterly,64775,25,6964.91,11/26/12,39505.59,0,32058.97,7446.62,0
MADISON PAC,C00532515,,,,,,VA,,Unassigned,Quarterly,,,,,37125,0,0,37125,0
PROTECTING OUR VOTE PAC,C00509463,MARCUS S MASON,700 13TH STREET NW SUITE 600,,WASHINGTON,20005,DC,,Backs Democrats,Quarterly,34415,165,17033.57,9/30/12,34348.27,34348.27,0,0,0
AMERICAN JOBS AND GROWTH ALLIANCE,C00511873,DAVID W STAUDT,120 NORTH WASHINGTON SQUARE,STE 805,LANSING,48933,MI,,Unassigned,Quarterly,50100,100,7493.44,9/30/12,34276.57,0,0,34276.57,0
PROPER ROLE OF GOVERNMENT ACTION FUND,C00514711,CORIE CHAN,PO BOX 901483,,SANDY,84090,UT,,Unassigned,Quarterly,32800,0,299.62,10/17/12,33988.48,0,0,33988.48,0
BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,C00487827,"KLEIN, HOWARD","1025 VERMONT AVE, NW",SUITE 300,WASHINGTON,20005,DC,NONE,Unassigned,Quarterly,34717.5,5333,2011.51,11/26/12,32264.97,0,0,400,31864.97
CONSERVATIVES FOR FREEDOM PAC,C00512038,NANCY H WATKINS,610 S BOULEVARD,,TAMPA,33606,FL,,Backs Republicans,Monthly,33500,0,1930,11/26/12,31500,0,0,31500,0
CONCERNED AMERICAN VOTERS,C00525899,,,,,,VA,,Unassigned,Quarterly,53150,150,-2437.26,9/30/12,31321.69,0,0,31321.69,0
INDEPENDENT SOURCE PAC,C00497727,MICHAEL CORWIN,11024 MONTGOMERY BLVD NE #128,,ALBUQUERQUE,87111,NM,,Backs Democrats,Quarterly,440320,320,8350.35,9/30/12,30827.62,30827.62,0,0,0
GEORGIA FREEDOM PAC INC,C00523506,BRYAN P TYSON,1170 PEACHTREE STREET NE SUITE 220,,ATLANTA,30309,GA,NONE,Unassigned,Quarterly,23600,200,2171.95,10/17/12,30223.15,0,0,18223.15,12000
BRIGHTER FUTURE FUND,C00520684,PAT FINKEN,PO BOX 572,,MANDAN,58554,ND,,Backs Republicans,Quarterly,82860,300,45775.9,10/17/12,29600.22,0,0,29600.22,0
PROGRESSIVE COLORADO PAC,C00529750,,,,,,CO,,Unassigned,Quarterly,35064,64,21312,10/17/12,29269,0,0,0,29269
CALIFORNIA ASSOCIATION OF PHYSICIAN GROUPS (CAPG) PHYSICIANS INDEPENDENT EXPENDITURE COMMI,C00492553,DONALD H CRANE,915 WILSHIRE BLVD SUITE 1620,,LOS ANGELES,90017,CA,,Backs Democrats,Quarterly,12253.13,150,14383.49,9/30/12,28081,28081,0,0,0
ROCK THE RED POLITICAL ACTION COMMITTEE INC (ROCK THE RED),C00522607,TERESA WILKIE HOEFL,9935 D REA ROAD SUITE 101,,CHARLOTTE,28277,NC,NONE,Unassigned,Quarterly,17277,177,277,6/30/12,27690,390,27300,0,0
TEXAS AMERICA 21ST CENTURY PAC,C00521195,JUDITH ZAMORE,2929 MOSSROCK ST SUITE 215,,SAN ANTONIO,78230,TX,NONE,Unassigned,Quarterly,32500,0,461.6,9/30/12,26592.86,26592.86,0,0,0
BRIGHTER FUTURE COMMITTEE,C00529735,,,,,,ND,,Unassigned,Quarterly,27500,0,1563.55,10/17/12,25860.8,0,25860.8,0,0
SUBURBAN VOTERS FOR CHOICE,C00514729,"VAINISI, MICHAEL",435 W OAKDALE #4F,,CHICAGO,60657,IL,,Backs Democrats,Quarterly,29524.9,0,4264.9,9/30/12,25260,25260,0,0,0
"CITIZENS FOR CONSERVATIVE LEADERSHIP, INC.",C00515346,MICHAEL G ADAMS,PO BOX 27149,,WASHINGTON,20038,DC,,Backs Republicans,Quarterly,60609.9,0,21.72,11/26/12,25170.69,0,0,0,25170.69
MIDDLE RESOLUTION FEDERAL PAC INC,C00512335,CATHARYNE L BACH,PO BOX 479,,MECHANICSVILLE,23111,VA,,Backs Republicans,Quarterly,741000.97,10430.49,210853.2,10/17/12,24839.59,0,13172.28,11667.31,0
MAKE AMERICA STRONG AND SECURE PAC (MASS PAC),C00527671,,,,,,MN,,Unassigned,Quarterly,25000,0,500,10/17/12,24500,0,0,0,0
KEEP CONSERVATIVES UNITED,C00499525,"HARRIS, BOB",PO BOX 97275,,RALEIGH,27624,NC,NONE,Backs Republicans,Quarterly,27187.43,135,3367.51,10/17/12,22380.65,0,0,5746.48,16634.17
COLORADO FUTURE FUND,C00527523,,,,,,CO,,Unassigned,Quarterly,25000,0,24985,9/30/12,21487.4,0,21487.4,0,0
CHALLENGEDC,C00522037,VAUGHN SMITH,110 NORTH FIFTH STREET #410,,MINNEAPOLIS,55403,MN,,Unassigned,Quarterly,40070.66,70.66,-398.37,9/30/12,21286.25,0,0,21286.25,0
"LANTERN PROJECT, THE",C00478420,"DONLEN, BRIAN",4503 SPRUCE STREET,,PHILADELPHIA,19319,PA,,Backs Democrats,Quarterly,27075,775,10394.73,9/30/12,20435,20435,0,0,0
PRESIDENTDOWNGRADE.COM,C00506105,NANCY H WATKINS,610 S BOULEVARD,,TAMPA,33606,FL,NONE,Backs Republicans,Quarterly,33138.76,3038.76,4531.18,9/30/12,20000,0,0,20000,0
AMERICANS FOR A BETTER WAY FORWARD,C00511592,PAUL KILGORE,PO BOX 402,,LAINGSBURG,48848,MI,NONE,Backs Republicans,Quarterly,125000,0,29848.97,10/17/12,18980,0,0,0,18980
SAM VS THE MACHINE,C00513168,SCOTT B MACKENZIE,2776 S ARLINGTON MILL DR #806,,ARLINGTON,22206,VA,NONE,Backs Republicans,Quarterly,36853,6103,0,9/30/12,18278.71,0,0,18278.71,0
SECURE ARIZONA PAC,C00516005,JAMES C THOMAS III,4131 N MULBERRY DR SUITE 200,,KANSAS CITY,64116,MO,,Backs Republicans,Quarterly,146154.77,0,0,10/11/12,17500,0,0,0,17500
MADISON ACTION FUND; THE,C00524520,,,,,,TX,,Unassigned,Quarterly,88100,100,49043.86,10/17/12,17369.41,0,6950.04,10419.37,0
CALIFORNIANS FOR SACRED SITES PROTECTION,C00532929,,,,,,CA,,Unassigned,Quarterly,,,,,16186.36,16186.36,0,0,0
AMERICAN CONSERVANCY PAC,C00532747,,,,,,OH,,Unassigned,Quarterly,,,,,16163.96,0,0,16163.96,0
WORKING FAMILIES FOR LIZ CROWLEY,C00523522,GAVIN J MCDONALD,7234 PARKWAY DRIVE,,HANOVER,21076,MD,NONE,Backs Democrats,Quarterly,15000,0,0,9/30/12,15000,15000,0,0,0
UTE PAC,C00517920,DIMITIOS MUMULIDISZ,144 DOWNINGTON AVE,,SALT LAKE CITY,84115,UT,NONE,Backs Republicans,Quarterly,8844.15,25,0.43,9/30/12,14040.05,0,0,0,3540.05
FARM BUREAU PAC,C00532416,,,,,,MI,,Unassigned,Quarterly,120000,0,0,10/17/12,14000,0,0,14000,0
SOUTH FLORIDIANS FOR EFFECTIVE LEADERSHIP,C00524496,,,,,,FL,,Unassigned,Quarterly,26000,0,0,10/2/12,13218.43,13218.43,0,0,0
PIVOT POINT WASHINGTON,C00524017,DANIEL C DICKSON,15538 SE 79TH PL,,NEW CASTLE,98059,WA,,Unassigned,Quarterly,19382.01,6282,4982.12,10/17/12,13037,0,0,13037,0
"AMERICAN WORKER INC, THE",C00488759,"ROCHA, CHARLES E.","700 13TH ST, NW",SUITE 600,WASHINGTON,20005,DC,,Backs Democrats,Quarterly,656279.47,4887.14,31274.22,10/17/12,11848.23,6848.23,0,0,5000
PROGRESSIVE USA VOTERS,C00532812,,,,,,CO,,Unassigned,Quarterly,,,,,11651.61,11651.61,0,0,0
COURAGE CAMPAIGN SUPER PAC,C00523498,RICHARD JACOBS,777 S FIGUEROA ST STE 4050,,LOS ANGELES,90017,CA,NONE,Unassigned,Quarterly,26202.5,4452.5,16541.97,9/30/12,10997.97,363,0,0,10634.97
RAISING RED ACTION FUND,C00493643,"SMITH, CHARLIE MR.",PO BOX 2485,,SPRINGFIELD,22152,CO,RAISING RED POLITICAL ACTION COMMITTEE,Backs Republicans,Quarterly,286706.98,9583.48,36978.78,9/30/12,10000,0,2125,7875,0
ARIZONANS WORKING TOGETHER,C00482620,"O'DANIEL, RYAN",7525 EAST CAMELBACK ROAD,SUITE 104,SCOTTSDALE,85251,AZ,NONE,Unassigned,Quarterly,10000,0,0,9/30/12,9400,0,0,9400,0
TIPPING POINT,C00518738,RYAN C MOSES,121 STATE STREET,,ALBANY,12207,NY,NONE,Backs Republicans,Quarterly,46000,0,14446.44,10/17/12,9258.8,0,758.8,8500,0
FREEDOM PLAINS ACTION NETWORK,C00509927,SCOTT BENSING,4790 CAUGHLIN PARKWAY #767,,RENO,89519,NV,,Backs Republicans,Quarterly,15125,125,4114.96,10/17/12,9086.6,0,0,9086.6,0
CENTENNIAL FUND COMMITTEE; THE,C00516542,LEE MILLER,1702 E HIGHLAND AVENUE SUITE 204,,PHOENIX,85016,AZ,,Backs Republicans,Quarterly,10000,0,992.79,9/30/12,9007.21,0,0,9007.21,0
NEW JERSEY REPUBLICAN PROLIFE COALITION PAC,C00525378,,,,,,NJ,,Unassigned,Quarterly,14102.21,12602.21,1275.11,11/26/12,8519.14,0,0,8519.14,0
PUTTING AMERICA FIRST,C00515692,CHRIS MARSTON,PO BOX 26414,,ALEXANDRIA,22313,VA,NONE,Unassigned,Quarterly,13500,0,88.81,9/30/12,8140,0,0,8140,0
AMERICAN VALUES COALITION,C00512871,OOMMEN P MAMMEN,PO BOX 66111,,WASHINGTON,20035,DC,NONE,Backs Democrats,Quarterly,64190.33,0,116.66,11/26/12,7799.74,7799.74,0,0,0
CLERMONT COUNTY REPUBLICAN LEADERSHIP PAC,C00513556,ERIC FERRY,PO BOX 664,,MILFORD,45150,OH,NONE,Backs Republicans,Quarterly,7500,0,214.79,3/31/12,7258.22,0,0,7258.22,0
SPECIAL OPERATIONS FOR AMERICA,C00523241,CHRISTOPHER S HYATT,336 WEST 2ND STREET,,WHITEFISH,59937,MT,,Unassigned,Quarterly,163347.07,73914.44,21413.83,10/17/12,7000,0,7000,0,0
HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,C00508440,JAMES M RINEFIERD,1640 RHODE ISLAND AVE NW,,WASHINGTON,20036,DC,,Unassigned,Monthly,125558.4,0,321.79,10/17/12,6678.21,4073.96,0,0,2584.52
LINCOLN CLUB OF ORANGE COUNTY FEDERAL IE COMMITTEE; THE,C00490136,BETTY PRESLEY,30151 TOMAS,,RANCHO STA MARGARI,92688,CA,,Backs Republicans,Quarterly,64,0,64.53,9/30/12,5500,0,0,5500,0
PATRIOTS FUND,C00490896,SCOTT GREENLEE,PO BOX 1412,,GRAND RAPIDS,49501,MI,,Unassigned,Quarterly,20800,300,-232.31,10/17/12,4681.72,0,0,4681.72,0
DOGPAC,C00517128,RON CARVER,1205 PROSPECT STREET,,TAKOMA PARK,20912,MD,,Unassigned,Quarterly,2400,1150,1272.73,9/30/12,4661.45,0,0,0,4661.45
EMPOWER MINNESOTA,C00515874,"WATKINS, NANCY H.",610 S. BOULEVARD,,TAMPA,33606,FL,,Unassigned,Monthly,18210,910,16952.13,10/17/12,4000,0,0,4000,0
WRAG PAC,C00484378,ALEX MANGIE,945 WINDHAM CT SUITE 3,,YOUNGSTOWN,44512,OH,,Unassigned,Quarterly,7818,2138,2968.97,9/30/12,4000,0,4000,0,0
MAJORITY ACTION PAC,C00487736,"ZAMORE, JUDITH",709A 8TH ST SE,,WASHINGTON,20003,DC,NONE,Unassigned,Quarterly,11032.08,0,9438.45,10/17/12,3000,0,0,0,3000
TEXAS TEA PARTY PATRIOTS PAC,C00488403,WILLIAM J O'SULLIVAN JR,14 PETALCUP PLACE,,THE WOODLANDS,77381,TX,,Backs Republicans,Quarterly,327480.48,70405.23,74323.87,10/17/12,2932.73,0,0,2932.73,0
HEART OF AMERICA POLITICAL ACTION COMMITTEE,C00515676,RICHARD MARTIN,PO BOX 11422,,OVERLAND PARK,66207,KS,,Backs Democrats,Quarterly,722260.08,10,102084.77,10/17/12,1300,1300,0,0,0
EXCELLENCE IN GOVERNMENT POLITICAL ACTION COMMITTEE (EIG PAC),C00531806,,,,,,DC,,Unassigned,Quarterly,2250,0,250,9/30/12,1152,0,0,1152,0
MATTHEW 25 NETWORK,C00449801,"KORZEN, CHRISTOPHER",PO BOX 33995,,WASHINGTON,20033,DC,NONE,Backs Democrats,Quarterly,0,0,2596.57,9/30/12,1100,1100,0,0,0
PRIDE PAC,C00513150,MARCUS LOVINGOOD,PO BOX #529,,BELVEDERE-TIBURON,94920,CA,NONE,Backs Democrats,Quarterly,6142,1562,1000,9/30/12,1079.99,1079.99,0,0,0
AMERICA FOR THE PEOPLE PAC,C00497081,SERGEY KOLMYKOV,156 LAWRENCE DRIVE,,PARAMUS,7652,NJ,NONE,Backs Democrats,Quarterly,940.5,880.5,11.51,9/30/12,1028.99,1028.99,0,0,0
AMERICANS FOR A BETTER TOMORROW TODAY,C00507046,TODD BAILEY,117 SLEEPY HOLLOW DR,,MANCHESTER CTR,5255,VT,,Backs Republicans,Quarterly,1080.99,780.99,675.76,9/30/12,433.6,0,0,0,433.6
STUDENTS FOR PROGRESS,C00521583,TRAVIS K ALLEN,9314 FELSMERE CIRCLE,,LOUISVILLE,40241,KY,,Unassigned,Quarterly,385,160,104.86,9/30/12,83.18,43.23,0,0,39.95
NO MERCY SUPER PAC,C00500868,VANCE L. JOCHIM,PO BOX 1042,,TAVARES,32778,FL,,Unassigned,Quarterly,565,200,0,9/30/12,70.96,0,0,70.96,0
50 STATE STRATEGY,C00502633,RICH ROBINSON,152 N THIRD ST SUITE 600,,SAN JOSE,95112,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
A CONGRESS THAT WORKS,C00513200,JEFF BERDING,605 N HIGH ST #V-192,,COLUMBUS,43215,OH,,Unassigned,Terminated,,,,,0,0,0,0,0
A PROMISE TO OUR CHILDREN,C00505305,KENNETH R DAVIS,3938 E GRANT ROAD #170,,TUCSON,85712,AZ,,Unassigned,Quarterly,525.81,325.81,136.04,3/31/12,0,0,0,0,0
A SUPERPAC,C00508952,MATTHEW BALAZIK,3520 SUGARLOAF PKWY STE F3-135,,FREDERICK,21704,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
ABO 2012 SUPER PAC INC,C00504779,THOMAS MCDONAGH,2710 THOMES AVENUE SUITE 1862,,CHEYENNE,82001,WY,,Unassigned,Quarterly,,,,,0,0,0,0,0
ACCOMPLISH OUR MISSION,C00513507,TERRY LEE SMITH,WOOD LAND CENTER,4001 SOUTH 700 EAST STE 500,SALT LAKE CITY,84107,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
ACCOUNTABILITY 2010,C00489641,R BROOKE COLEMAN,PO BOX 962186,,BOSTON,2196,MA,,Unassigned,Quarterly,598.86,0,27976.86,11/26/12,0,0,0,0,0
ACTION4LIBERTY,C00508788,BRIAN BAKER,7332 NIAGARA LANE N,,MAPLE GROVE,55311,MN,,Unassigned,Quarterly,10466.38,1333.38,2725.59,9/30/12,0,0,0,0,0
ACU SUPER PAC,C00505792,MELISSA BOWMAN,1331 H STREET NW,SUITE 500,WASHINGTON,20005,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
