Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,C00488742,"ARMSTRONG, WILLIAM J III",430 NORTH MICHIGAN AVENUE,,CHICAGO,60611,IL,,Unassigned,Monthly,2834645.68,0,21231.61,10/17/12,3163668.39,1339660,0,1824008.39,0
OUR DESTINY PAC,C00501098,JAMES DAVID STODDARD,PO BOX 373,,FAIRFAX STATION,22039,VA,,Backs Republicans,Monthly,3195677.25,700,22679.92,11/26/12,2804234.28,0,0,2804234.28,0
FSA PAC,C00526673,,,,,,MA,,Backs Democrats,Quarterly,1169994.57,1328.03,121446.99,10/17/12,2498294.63,2498294.63,0,0,0
TREASURE COAST JOBS COALITION,C00524793,,,,,,DC,,Backs Republicans,Quarterly,2157000,0,666754.99,10/17/12,2436146.09,0,2436146.09,0,0
GOVERNMENT INTEGRITY FUND ACTION NETWORK; THE,C00498832,WILLIAM M TODD,137 EAST STATE STREET,,COLUMBUS,43215,OH,,Unassigned,Quarterly,1107000,0,10004.99,10/17/12,2431700,0,1131700,1300000,0
LCV VICTORY FUND,C00486845,"COLLINS, PATRICK",1920 L ST NW STE 800,,WASHINGTON,20036,DC,LEAGUE OF CONSERVATION VOTERS ACTION F,Backs Democrats,Monthly,2070116.53,335370.18,992392.07,10/17/12,2261664.52,288158.67,380,0,1973125.85
AMERICAN UNITY PAC INC,C00523589,MARGARET HOOVER,PO BOX 53454,,WASHINGTON,20009,DC,NONE,Backs Republicans,Quarterly,1996855.22,893.73,419713.06,10/17/12,2244147.23,0,952090.69,1292056.54,0
SPIRIT OF DEMOCRACY AMERICA,C00521211,"HILTACHK, THOMAS W.","455 CAPITOL MALL, SUITE 600",,SACRAMENTO,95814,CA,NONE,Backs Republicans,Quarterly,1546000,0,634617.5,10/17/12,2238723.85,0,284800,1885929.78,67994.07
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,C00502849,JONATHAN MARTIN,3900 ESSEX LANE SUITE 250,,HOUSTON,77027,TX,,Unassigned,Monthly,3614241.48,17795.08,401530.61,10/31/12,1816502,203395.71,522180.59,121001.99,969923.71
RESTORE AMERICA'S VOICE PAC,C00489807,"OTIS, MAUREEN E",4850 WRIGHT ROAD SUITE 168,,STAFFORD,77477,TX,,Backs Republicans,Quarterly,3700877.73,3212302.73,334524.59,10/17/12,1797422.9,0,1797422.9,0,0
LIBERTY FOR ALL SUPER PAC,C00514653,AARON NOSBISCH,13729 RESEARCH BOULEVARD STE 1075,,AUSTIN,78750,VA,,Backs Republicans,Quarterly,3044061.12,4262.83,66216.26,10/17/12,1758833.72,0,0,797764.53,925770.28
REPUBLICAN JEWISH COALITION VICTORY FUND,C00528554,,,,,,DC,,Unassigned,Quarterly,0,0,0,9/30/12,1758320.53,0,1758320.53,0,0
AMERICA'S NEXT GENERATION LLC D/B/A THE NEXT GENERATION,C00491373,"ANDERSON, GEORGE",774A WALKER ROAD,,GREAT FALLS,22066,VA,NONE,Backs Republicans,Quarterly,2258954.68,1927017.97,414518.33,10/17/12,1730458.2,0,1730458.2,0,0
END THE GRIDLOCK,C00519595,MICHAEL TUCKER,PO BOX 34151,,WASHINGTON,20043,DC,NONE,Backs Democrats,Quarterly,1910274.61,126,12693.28,11/26/12,1716940.53,64064.63,0,0,1652875.9
NATIONAL RIGHT TO LIFE VICTORY FUND,C00509893,JOSEPH M LANDRUM,512 10TH STREET NW,,WASHINGTON,20004,DC,,Backs Republicans,Quarterly,1217245,442959.28,793930.5,10/17/12,1608419.91,0,642009,966410.91,0
NEW PROSPERITY FOUNDATION; THE,C00488494,"BAISE, GREGORY",200 S WACKER DR,SUITE 4000,CHICAGO,60606,IL,,Backs Republicans,Monthly,1822588.64,310,401127.93,10/17/12,1523275.82,0,1390362.12,132913.7,0
SUPER PAC FOR AMERICA,C00489781,NANCY H WATKINS,610 S BOULEVARD,,TAMPA,33606,FL,,Backs Republicans,Quarterly,790600,250,16276.58,9/30/12,1508676.71,0,1135583.5,373093.21,0
COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,C00492116,KIRK ALAN PESSNER,333 S HOPE ST 8TH FLOOR,,LOS ANGELES,90071,CA,,Backs Democrats,Monthly,2780864.04,0,965751.08,10/17/12,1481492.81,146179.34,888209.31,431122.49,0
PATRIOT PROSPERITY POLITICAL ACTION COMMITTEE,C00525386,,,,,,DC,,Backs Republicans,Quarterly,1500000,0,621423.77,10/17/12,1397534,0,0,1397534,0
COMMITTEE TO ELECT AN EFFECTIVE VALLEY CONGRESSMAN,C00507228,BEVERLY GROSSMAN PALMER,10940 WILSHIRE BOULEVARD STE 2000,,LOS ANGELES,90024,CA,,Backs Democrats,Quarterly,1209858.15,0,280062.11,10/17/12,1346728.33,1346728.33,0,0,0
FUND FOR FREEDOM INC,C00509646,MICHAEL G ADAMS,801 PENNSYLVANIA AVE NW SUITE 610,,WASHINGTON,20004,DC,NONE,Unassigned,Quarterly,1660080,80,0,11/26/12,1340000,0,670000,670000,0
SENATE CONSERVATIVES ACTION,C00524181,,,,,,VA,,Backs Republicans,Quarterly,1249816,3341,73997.67,10/17/12,1331979,0,709605,622374,0
AMERICA 360 COMMITTEE,C00520411,MICHAEL G ADAMS,801 PENNSYLVANIA AVE NW SUITE 610,,WASHINGTON,20004,DC,NONE,Backs Republicans,Quarterly,1446900,0,7618.61,11/26/12,1250730.98,0,805739.96,444991.02,0
LOCAL VOICES,C00531624,,,,,,DC,,Unassigned,Quarterly,350525,25,243373.52,10/17/12,1232619.36,1232619.36,0,0,0
NATIONAL HORIZON,C00519363,DAVID SATTERFIELD,PO BOX 66742,,WASHINGTON,20035,DC,NONE,Backs Republicans,Quarterly,1358189,2139,94481.53,10/17/12,1214583,0,0,909405.5,305177.5
SIERRA CLUB INDEPENDENT ACTION,C00483693,"CANI, TONY",85 SECOND STREET SECOND FLOOR,,SAN FRANCISCO,94105,CA,SIERRA CLUB POLITICAL COMMITTEE,Backs Democrats,Monthly,1181636.99,22113.62,252819.5,10/17/12,1192078.21,285659.1,0,0,811317.57
RETHINK PAC,C00503870,DAVID N MARTIN,202 BONHAM RD,,DEDHAM,2026,MA,NONE,Backs Democrats,Quarterly,777813.36,711,12604.8,9/30/12,1158830.38,0,0,0,1158830.38
PROSPERITY FIRST INC,C00517466,GEORGE REHN,PO BOX 373,,FAIRFAX STATION,22039,VA,,Backs Republicans,Quarterly,1025500,0,203314.77,10/17/12,1124159.69,0,23394.66,1100765.03,0
ENVIRONMENT AMERICA ACTION FUND,C00531814,,,,,,DC,,Unassigned,Quarterly,538833.89,0,136587.6,10/17/12,1114098.66,1114098.66,0,0,0
HARDWORKING AMERICANS COMMITTEE,C00530758,,,,,,MI,,Unassigned,Quarterly,,,,,1109079.38,0,1030000,79079.38,0
AMERICA SHINING,C00525618,,,,,,CA,,Backs Democrats,Quarterly,765000,0,238117.21,10/17/12,1093375.34,276990.33,0,8724.32,807660.69
NEA ADVOCACY FUND,C00489815,"MCPHERSON, MICHAEL",1201 16TH STREET NW SUITE 420,,WASHINGTON,20036,DC,NATIONAL EDUCATION ASSOCIATION,Backs Democrats,Quarterly,8310951.65,0,962073.36,10/17/12,1001136.99,105798,0,0,895338.99
FREEDOM FUND NORTH AMERICA,C00532564,,,,,,DC,,Backs Republicans,Quarterly,1000000,0,0,11/26/12,990000,0,742500,247500,0
REPUBLICAN UNION PAC,C00525790,,,,,,PA,,Backs Republicans,Quarterly,1000890,390,5242.25,9/30/12,950000,0,950000,0,0
CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC),C00510727,LARRY M HICKS,10500 NORTHWEST FREEWAY SUITE 212,,HOUSTON,77092,TX,NONE,Backs Republicans,Quarterly,1082610,110,28931.47,9/30/12,903500,0,0,513000,390500
WORKING FOR US POLITICAL ACTION COMMITTEE INC,C00430876,STEVEN ROSENTHAL,888 16TH STREET NW SUITE #650,,WASHINGTON,20006,DC,,Backs Democrats,Quarterly,787697.71,0,84762.28,10/17/12,891020.27,811520.73,24248.29,0,55251.25
CITIZENS FOR A WORKING AMERICA PAC,C00488767,"LANGDON, DAVID MR. ESQ.",388 MEADOWS DRIVE,,LANCASTER,22503,VA,NONE,Backs Republicans,Quarterly,733286.5,0,37671.21,10/17/12,863310.59,0,180734,600816.59,81760
BLACK MEN VOTE,C00528950,,,,,,VA,,Backs Democrats,Quarterly,850000,0,507455.54,10/17/12,849760.77,849760.77,0,0,0
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,C00488486,"HILL, ANNIE","501 3RD STREET, NW",,WASHINGTON,20001,DC,COMMUNICATIONS WORKERS OF AMERICA,Backs Democrats,Quarterly,2298578.94,0,71794.24,10/17/12,840149.34,232697.94,0,0,607451.4
WOMEN SPEAK OUT PAC,C00530766,,,,,,DC,,Backs Republicans,Quarterly,861135.08,95784.08,72984.71,10/17/12,836404.21,0,796770,39634.21,0
FRIENDS OF THE MAJORITY,C00523035,PAUL MAZZEO MD,1833 NORTH PARIS AVENUE,,PORT ROYAL,29935,SC,NONE,Backs Republicans,Quarterly,779250,0,18760.9,9/30/12,745755.04,0,0,0,745755.04
TEXANS FOR AMERICA'S FUTURE,C00502377,JEFFRE WARD ROTKOFF,815-A BRAZOS STREET #237,,AUSTIN,78701,TX,NONE,Backs Democrats,Quarterly,658917,0,64989.82,10/17/12,737441.2,688070.18,0,0,49371.02
LUNCH PAIL REPUBLICANS INDEPENDENT EXPENDITURE ONLY COMMITTEE,C00515593,JAMES STANGE,PO BOX 597,,LAGRANGE,60525,IL,NONE,Backs Republicans,Quarterly,725500,0,76352.26,10/17/12,678562.87,0,0,678562.87,0
PROSPERITY FOR MICHIGAN,C00518357,JENNIFER SATTERLEE,201 TOWNSEND ST STE 923,,LANSING,48933,MI,,Backs Republicans,Quarterly,690000,0,4787.88,11/26/12,645412.12,0,0,645412.12,0
CREDO SUPERPAC,C00507517,"BOND, BECKY",101 MARKET STREET SUITE 700,,SAN FRANCISCO,94105,CA,NONE,Backs Democrats,Quarterly,3702960.28,2112847.74,1585849.68,10/17/12,609465.73,0,0,0,609465.73
CAMPAIGN FOR AMERICAN VALUES PAC,C00489617,DORIE BLACK,2800 S SHIRLINGTON ROAD SUITE 930,,ARLINGTON,22206,VA,,Backs Republicans,Monthly,894190,190,320526.68,10/17/12,582363.38,0,19087.99,563275.39,0
AMERICAN FOUNDATIONS COMMITTEE INC; THE,C00514125,DAVID SATTERFIELD,PO BOX 122,,LOUISBURG,27549,NC,NONE,Backs Republicans,Quarterly,578255,0,6772.77,9/30/12,535083,0,0,222837.25,312245.75
FAITH FAMILY FREEDOM FUND,C00489625,PAUL TRIPODI,801 G STREET NW,,WASHINGTON,20001,DC,,Backs Republicans,Monthly,973197.82,73834.91,686589.21,10/17/12,534851,0,222263,312588,0
CROSSROADS GENERATION,C00521146,MARGEE CLANCY,5013 COACHMANS CARRIAGE TERRACE,,GLEN ALLEN,23059,VA,NONE,Backs Republicans,Quarterly,970417,7711,183911.52,10/17/12,513589.67,0,209110.81,304478.86,0
REPUBLICAN SUPER PAC INC,C00496349,"BOPP, JAMES JR.",1 S 6TH ST,,TERRE HAUTE,47807,IN,NONE,Backs Republicans,Quarterly,259539.42,435,39148.84,10/17/12,512095.6,0,0,512095.6,0
CALIFORNIANS FOR INTEGRITY IN GOVERNMENT,C00508960,SHAWNDA DEANE,1787 TRIBUTE ROAD SUITE K,,SACRAMENTO,95815,CA,,Backs Democrats,Monthly,513001,1,281487.09,10/17/12,502825.34,229191.45,273633.89,0,0
FREEDOM AND LIBERTY PAC,C00502641,MICHAEL D EDMONDS,329 PIERPONT AVENUE,,SALT LAKE CITY,84101,UT,,Unassigned,Quarterly,500000,0,0,11/26/12,500000,0,0,0,0
CONNECTICUT'S FUTURE PAC INC,C00524751,,,,,,CT,,Backs Democrats,Quarterly,335970.04,20,109985.46,10/17/12,495738.26,495738.26,0,0,0
HISPANIC LEADERSHIP FUND ACTION,C00531616,,,,,,VA,,Unassigned,Quarterly,190000,0,5505,10/17/12,495483.92,0,0,495483.92,0
FIGHT FOR THE DREAM INC,C00519793,ROBERT HEIMBACHER,1636 N CEDAR CREST BLVD #318,,ALLENTOWN,18104,PA,,Unassigned,Quarterly,554800,0,380045,10/17/12,483795,0,464995,18800,0
NATIONAL REPUBLICAN VICTORY FUND PAC,C00530212,,,,,,DC,,Backs Republicans,Quarterly,370550.44,78566.44,85337.44,10/17/12,481743.94,0,481743.94,0,0
INDIANA VALUES SUPERPAC INC,C00509083,ANDREW KLINGENSTEIN,1823 23RD STREET NW,,WASHINGTON,20008,DC,,Backs Republicans,Quarterly,527270,375,0,9/30/12,459607.62,0,0,0,459607.62
SANTA RITA SUPERPAC,C00508721,"HUFFINES, DONALD",8200 DOUGLAS AVENUE,SUITE 300,DALLAS,75225,TX,,Backs Republicans,Quarterly,433649.86,990,0,11/26/12,427379.38,0,0,427379.38,0
9-9-9 FUND,C00504241,"MACKENZIE, SCOTT B",2776 S ARLINGTON MILL DRIVE #806,,ARLINGTON,22206,VA,CAIN CONNECTIONS PAC,Backs Republicans,Quarterly,617670.14,492151.11,1601.23,11/26/12,411055.1,0,0,411055.1,0
EMPOWER CITIZENS NETWORK,C00522821,ROBERT WARTHER,1236 WEATHERVANE LANE,,AKRON,44313,OH,NONE,Unassigned,Quarterly,408000,0,6.5,11/26/12,407993.5,0,407993.5,0,0
PATRIOT MAJORITY PAC,C00469890,"VAROGA, CRAIG",PO BOX 11714,,WASHINGTON,20008,DC,NONE,Unassigned,Quarterly,20856,3031,20045.76,10/17/12,404975,0,0,0,404975
AMERICAN PRINCIPLES SUPERPAC,C00527804,,,,,,FL,,Backs Republicans,Quarterly,276025,25,4472.95,10/17/12,390590.9,0,364585.9,26005,0
OHIO FAMILIES UNITED,C00521880,N ZACHARY WEST,605 N HIGH ST V-192,,COLUMBUS,43215,OH,NONE,Backs Democrats,Quarterly,305000,0,51885.42,9/30/12,385000,0,0,0,385000
MAINE FREEDOM,C00527408,,,,,,DC,,Backs Democrats,Quarterly,400000,0,0,11/26/12,359000,179500,0,0,0
VOICES OF THE AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,C00512293,"GAGE, JOHN MR.","80 F STREET, NW",,WASHINGTON,20001,DC,,Backs Democrats,Quarterly,100857.53,136,9979.92,11/26/12,350000,350000,0,0,0
DEFENDERS OF WILDLIFE ACTION COMMITTEE,C00523019,JAMIE RAPPAPORT CLARK,1130 17TH ST NW,,WASHINGTON,20036,DC,,Backs Democrats,Quarterly,360000,0,9357.1,9/30/12,343084.8,0,0,0,343084.8
PROGRESS FOR WASHINGTON,C00523571,"PEMBLE, JEREMY",P.O. BOX 2624,,KIRKLAND,98033,WA,NONE,Backs Democrats,Quarterly,415558.9,25,10580.65,11/26/12,341112.25,144506.15,196606.1,0,0
AMERICAN BRIDGE 21ST CENTURY,C00492140,"MOLLINEAU, RODELL","700 13TH STREET, NW, SUITE 600",,WASHINGTON,20005,DC,NONE,Backs Democrats,Quarterly,11437860.08,10501.82,2691700.14,10/17/12,334395,0,0,0,334395
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,C00484253,"PERRONE, ANTHONY M.","1775 K STREET, N.W.",,WASHINGTON,20006,DC,,Backs Democrats,Monthly,1622680.18,0,479509.86,10/17/12,333314.95,110000,0,0,223314.95
AMERICAN DENTAL ASSOCIATION INDEPENDENT EXPENDITURES COMMITTEE,C00488338,"HUOT, RICHARD DR.","1111 14TH STREET, NW",SUITE 1100,WASHINGTON,20005,DC,,Backs Republicans,Quarterly,301350.21,0,2033.36,11/26/12,322787.23,0,0,322787.23,0
SAVING FLORIDA'S FUTURE,C00494419,BENJAMIN POLLARA,1825 PONCE DE LEON BLVD SUITE 146,,CORAL GABLES,33134,FL,,Backs Democrats,Quarterly,302071,660,232241.48,9/30/12,306818.31,201212.96,0,0,105605.35
JAN PAC,C00503540,ROBERT HOCKENSMITH,PO BOX 3798,,PHOENIX,85030,AZ,,Backs Republicans,Quarterly,620526.77,128926.3,417992.16,10/17/12,301993.2,0,58823.89,243169.31,0
CATHOLICVOTE.ORG CANDIDATE FUND,C00494021,BRIAN BURCH,PO BOX 2709,,CHICAGO,60690,IL,,Backs Republicans,Quarterly,354593.73,131993.73,59953.97,10/17/12,293340.93,0,169164.65,124176.28,0
PROTECT OUR SCHOOLS FUND,C00530667,,,,,,MA,,Backs Democrats,Quarterly,381586,0,59672.33,11/26/12,287265,0,0,0,287265
